caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-EJ-A65B-01,7714.26021344275,1037.95143324987,1307.96743079485,495.667671978122,1295.08550793986
TCGA-EJ-A65D-01,745.072398365702,1483.41268325465,1041.98581367735,169.112008457742,1128.28980975876
TCGA-EJ-A65E-01,1299.28,1184.23,868.511,170.453,1001.53
TCGA-EJ-A65F-01,5009.89,730.338,953.055,233.059,1031.69
TCGA-EJ-A65G-01,1213.32,1164.45,646.786,201.506,1083.96
TCGA-EJ-A65J-01,1424.34,855.114,1451.93,171.944,1012.47
TCGA-EJ-A65M-01,1416.79,1366.33,777.778,263.95,1688.99
TCGA-EJ-A6RA-01,2360.3,1307.04,905.442,395.98,1612.56
TCGA-EJ-A6RC-01,5500.66,1151.06,1042.08,562.62,1169.56
TCGA-EJ-A7NF-01,767.103,1250.36,774.789,165.454,645.318
TCGA-EJ-A7NG-01,3278.69,1256.36,1009.42,408.73,1119.58
TCGA-EJ-A7NH-01,2496.44,1146.49,1080.83,244.149,1171.11
TCGA-EJ-A7NJ-01,1032.31,1084.59,1434.67,228.419,1130.84
TCGA-EJ-A7NK-01,1821.44,1190.72,1169.63,453.311,1065.08
TCGA-EJ-A7NM-01,1667.03,1417.49,1165.88,766.702,1272
TCGA-EJ-A7NN-01,3226.3,1254.53,1053.13,356.479,1372.36
TCGA-EJ-A8FN-01,2481.63,1169.31,1004.21,320.258,1079.44
TCGA-EJ-A8FO-01,1525.23,1115.92,954.261,252.188,1100.19
TCGA-EJ-A8FP-01,3222.6,1145.94,1136.97,507.265,1034.34
TCGA-EJ-A8FS-01,609.369,1101.02,976.652,247.25,1133.6
TCGA-EJ-A8FU-01,3790.47,1143.62,1079.98,309.753,920.15
TCGA-EJ-AB20-01,5008.83,1575.91,1027.08,743.764,763.479
TCGA-EJ-AB27-01,1842.51,1062.92,1047.96,273.732,1250.1
TCGA-FC-7708-01,3439.14,1044.65,1068.97,373.507,835.585
TCGA-FC-7961-01,3260.99,1065.49,1082.1,320.595,1033.48
TCGA-FC-A4JI-01,284.241,1147.49,1071.32,105.021,913.128
TCGA-FC-A5OB-01,406.309,895.009,671.356,132.768,1108.76
TCGA-FC-A66V-01,2307.55153319194,1029.19181624154,1304.39099060011,322.833439640869,1146.6405600151
TCGA-FC-A6HD-01,512.663103893818,1208.91714751455,645.100427027926,206.431038481072,1116.30190765939
TCGA-FC-A8O0-01,1219.02,1212.78,1063.86,273.775,795.389
