caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-KK-A6E6-01,3135.2499,1034.2188,913.2463,282.7555,1515.0833
TCGA-KK-A7AU-01,396.2837,1294.2738,790.6409,151.6875,1222.9807
TCGA-KK-A7B1-01,3454.9622,1144.5742,744.3544,521.6346,1070.0549
TCGA-KK-A7B4-01,1089.9847,1393.4565,896.3621,284.455,1214.1041
TCGA-KK-A8I4-01,6963.1618,1388.5275,949.4934,856.6923,790.4593
TCGA-KK-A8I6-01,1916.0502,1130.888,1033.4093,294.9807,1069.8842
TCGA-KK-A8I8-01,1742.623,1038.2514,993.2459,221.3115,1053.5519
TCGA-KK-A8IA-01,1589.928,1794.1681,750.9331,227.1012,1198.2847
TCGA-KK-A8IC-01,3876.1908,1321.5627,1081.8295,397.4455,978.9632
TCGA-KK-A8IH-01,1752.8466,1290.6899,1399.645,557.937,1342.9337
TCGA-KK-A8II-01,539.2571,687.2816,721.1733,96.9333,987.5299
TCGA-M7-A720-01,2127.0463,1228.1853,1590.471,358.6873,1155.5985
TCGA-QU-A6IP-01,2247.9642,1043.2349,804.8132,282.0764,1176.9973
TCGA-V1-A8WS-01,1628.0448,1530.2831,960.3687,178.0777,1068.1369
TCGA-V1-A8WW-01,2209.5796,1185.9444,1103.9113,741.2675,626.2288
TCGA-VN-A88K-01,3029.5809,1488.0318,1386.8172,351.2073,793.5612
TCGA-VN-A88L-01,3152.0353,1406.4272,835.2313,344.8015,965.3434
TCGA-VN-A88Q-01,2006.3348,1273.3032,792.6109,318.0995,817.1946
TCGA-VP-A872-01,2351.9595,1447.7723,927.975,830.2786,1705.26
TCGA-VP-A876-01,841.2769,1380.2247,690.3897,240.2079,1141.1263
TCGA-VP-A879-01,2507.1643,1213.5089,942.8781,394.2759,899.8283
TCGA-VP-A87D-01,1053.4192,1126.8583,991.3826,168.4836,941.5263
TCGA-VP-A87K-01,1039.1446,1155.4911,723.6499,178.3255,1082.2762
TCGA-XJ-A9DI-01,4213.4621,1417.6039,1275.3056,572.6161,957.4572
TCGA-XJ-A9DK-01,2291.7818,1117.8876,1436.9856,208.9029,1102.9326
TCGA-XQ-A8TB-01,2229.7469,1420.1565,1201.9236,261.3898,911.6429
TCGA-YL-A8HJ-01,5531.0163,1162.5446,1113.3643,436.7642,535.695
TCGA-YL-A8HK-01,3708.9343,1376.7204,1411.9347,375.9339,1025.1671
TCGA-YL-A8HL-01,1206.7435,1170.5784,1165.5239,200.3353,1194.0486
TCGA-YL-A8SA-01,1321.2208,1218.1794,943.0628,288.9511,1145.1419
TCGA-YL-A8SF-01,2522.4226,1352.5668,1196.5974,240.56,1015.2737
TCGA-YL-A8SL-01,1508.8252,782.1457,1289.4981,314.4896,1065.3676
TCGA-YL-A8SP-01,2170.6052,1401.6081,1052.8904,250.1058,775.2857
TCGA-ZG-A8QZ-01,3069.8503,1197.8155,1269.3244,395.2265,1211.165
TCGA-2A-A8W1-01,243.9004,1270.6882,503.3125,458.5055,676.6616
TCGA-V1-A8MJ-01,889.1121,1199.5479,1028.3762,589.7275,1039.8091
TCGA-VP-A87J-01,1374.2515,524.7006,1850.6624,128.3683,1068.8623
TCGA-2A-A8W3-01,2102.9442,1195.2566,771.0162,208.5463,916.7859
TCGA-CH-5748-01,1384.4871,934.1118,944.1201,193.4946,965.3878
TCGA-CH-5750-01,1296.3895,939.6618,1094.6186,130.7748,534.3728
TCGA-CH-5753-01,548.5937,1200.8356,1112.7559,211.668,835.1433
TCGA-EJ-5501-01,1582.9756,985.7918,837.133,370.7982,1259.7898
TCGA-EJ-5504-01,5811.3846,935.6197,1110.3248,283.6955,979.878
TCGA-EJ-5510-01,3466.4931,863.2651,1110.6267,316.9726,1129.134
TCGA-EJ-5519-01,3571.6253,924.5179,1288.3939,454.27,933.3333
TCGA-EJ-7318-01,2243.4776,1202.2554,782.6373,348.4904,859.5853
TCGA-EJ-7788-01,2620.2061,1017.1764,1033.4545,180.9803,838.5421
TCGA-EJ-8474-01,3188.9382,1130.9835,800.6353,207.1366,637.946
TCGA-EJ-A7NH-01,2496.4366,1146.4891,1080.8313,244.1485,1171.1057
